Sciezka,Gatunek
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Fear of the Dark_fragment_1.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Fear of the Dark_fragment_2.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Fear of the Dark_fragment_3.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Fear of the Dark_fragment_4.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Fear of the Dark_fragment_5.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Paranoid_fragment_1.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Paranoid_fragment_2.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Paranoid_fragment_3.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Paranoid_fragment_4.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Paranoid_fragment_5.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Toxicity (Official HD Video)_fragment_1.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Toxicity (Official HD Video)_fragment_2.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Toxicity (Official HD Video)_fragment_3.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Toxicity (Official HD Video)_fragment_4.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Toxicity (Official HD Video)_fragment_5.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Duality (2022 Remaster)_fragment_1.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Duality (2022 Remaster)_fragment_2.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Duality (2022 Remaster)_fragment_3.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Duality (2022 Remaster)_fragment_4.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Duality (2022 Remaster)_fragment_5.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Du hast_fragment_1.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Du hast_fragment_2.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Du hast_fragment_3.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Du hast_fragment_4.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Du hast_fragment_5.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Metal Machine_fragment_1.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Metal Machine_fragment_2.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Metal Machine_fragment_3.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Metal Machine_fragment_4.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Metal Machine_fragment_5.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Stand Up and Fight_fragment_1.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Stand Up and Fight_fragment_2.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Stand Up and Fight_fragment_3.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Stand Up and Fight_fragment_4.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Stand Up and Fight_fragment_5.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Beyond the Matrix_fragment_1.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Beyond the Matrix_fragment_2.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Beyond the Matrix_fragment_3.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Beyond the Matrix_fragment_4.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/Beyond the Matrix_fragment_5.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/House Of The Rising Sun_fragment_1.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/House Of The Rising Sun_fragment_2.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/House Of The Rising Sun_fragment_3.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/House Of The Rising Sun_fragment_4.wav,metal
/content/drive/My Drive/Statystyka Wielowymiarowa - Zadanie 2/piosenki - audio/House Of The Rising Sun_fragment_5.wav,metal
